Date,Open,High,Low,Close,Adj Close,Volume,Day
2018-02-13,19.57,20.059999,19.450001,20.049999,16.918375,260400,0
2018-02-14,19.84,20.610001,19.84,20.549999,17.340277,338500,1
2018-02-15,20.76,20.889999,20.290001,20.65,17.424664,309500,2
2018-02-16,20.57,20.950001,20.57,20.860001,17.601864,103500,3
2018-02-20,20.799999,20.99,20.48,20.6,17.382471,114700,4
2018-02-21,20.559999,21.15,20.559999,20.790001,17.542793,114700,5
2018-02-22,20.92,21.02,20.709999,20.74,17.500607,72700,6
2018-02-23,20.889999,21.280001,20.639999,20.799999,17.551231,112600,7
2018-02-26,20.83,21.01,20.75,20.950001,17.677807,100600,8
2018-02-27,20.93,21.23,20.719999,20.719999,17.48373,100100,9
2018-02-28,20.809999,20.860001,20.41,20.41,17.222147,142500,10
2018-03-01,20.34,20.84,20.26,20.5,17.298088,175900,11
2018-03-02,20.34,20.719999,20.209999,20.65,17.424664,129100,12
2018-03-05,20.52,20.940001,20.450001,20.58,17.365595,111600,13
2018-03-06,20.620001,21.299999,20.57,21.110001,17.812811,159300,14
2018-03-07,20.879999,21.59,20.879999,21.48,18.125021,110400,15
2018-03-08,21.549999,21.610001,21.059999,21.129999,17.829691,119700,16
2018-03-09,21.290001,22.200001,21.049999,22.18,18.715691,831400,17
2018-03-12,22.26,22.57,22.1,22.41,18.909763,210900,18
2018-03-13,22.52,22.780001,22.25,22.370001,18.876011,130600,19
2018-03-14,22.469999,22.48,21.969999,22.040001,18.597553,175700,20
2018-03-15,22.08,22.190001,21.77,21.9,18.479422,106500,21
2018-03-16,21.9,22.209999,21.33,21.889999,18.470984,403300,22
2018-03-19,21.889999,21.889999,21.459999,21.73,18.335974,119200,23
2018-03-20,21.84,21.870001,21.549999,21.690001,18.302223,98900,24
2018-03-21,21.67,22.030001,21.65,21.76,18.361292,82100,25
2018-03-22,21.57,21.84,21.32,21.32,17.990011,232500,26
2018-03-23,21.35,21.35,20.41,20.41,17.222147,158800,27
2018-03-26,20.690001,20.83,20.42,20.780001,17.534355,225200,28
2018-03-27,20.85,20.85,20.32,20.440001,17.247459,117000,29
2018-03-28,20.49,20.76,20.07,20.24,17.078701,248400,30
2018-03-29,20.41,20.83,20.41,20.530001,17.3234,268300,31
2018-04-02,20.43,20.52,19.959999,20.18,17.136585,118500,32
2018-04-03,20.219999,20.74,20.120001,20.709999,17.586651,139300,33
2018-04-04,20.4,20.879999,20.049999,20.76,17.629107,236600,34
2018-04-05,20.879999,21.299999,20.76,21.18,17.985771,97200,35
2018-04-06,20.959999,21.18,20.68,20.799999,17.663082,204300,36
2018-04-09,21.030001,21.27,20.75,20.82,17.680059,161000,37
2018-04-10,21.1,21.440001,20.969999,21.34,18.121639,170200,38
2018-04-11,21.129999,21.370001,21.030001,21.129999,17.943314,90600,39
2018-04-12,21.190001,21.469999,21.139999,21.280001,18.070688,67900,40
2018-04-13,21.309999,21.58,21.17,21.42,18.189577,90300,41
2018-04-16,21.48,21.950001,21.389999,21.889999,18.588694,140000,42
2018-04-17,21.99,22.51,21.99,22.26,18.902891,125400,43
2018-04-18,22.309999,22.450001,22.209999,22.370001,18.996304,121500,44
2018-04-19,22.299999,22.549999,22.219999,22.27,18.911383,184800,45
2018-04-20,22.129999,22.209999,21.879999,22.1,18.767019,104700,46
2018-04-23,22.120001,22.120001,21.74,21.91,18.605677,73700,47
2018-04-24,22.09,22.09,21.469999,21.620001,18.359413,114100,48
2018-04-25,21.66,21.860001,21.43,21.76,18.478298,103700,49
2018-04-26,21.879999,21.879999,21.26,21.5,18.257511,90800,50
2018-04-27,21.559999,21.690001,21.200001,21.24,18.03672,69200,51
2018-04-30,21.209999,21.309999,20.879999,20.889999,17.739504,103600,52
2018-05-01,20.129999,20.129999,15.76,16.780001,14.24935,856000,53
2018-05-02,16.52,17.370001,16.43,16.43,13.952131,285800,54
2018-05-03,16.42,16.49,15.84,16.33,13.867214,364600,55
2018-05-04,16.26,16.68,16.26,16.49,14.003085,155500,56
2018-05-07,16.559999,16.73,16.440001,16.65,14.138953,150100,57
2018-05-08,16.4,16.98,16.4,16.77,14.240857,157200,58
2018-05-09,16.84,16.84,16.440001,16.610001,14.104987,117000,59
2018-05-10,16.639999,16.82,16.559999,16.68,14.16443,99600,60
2018-05-11,16.620001,16.75,16.52,16.629999,14.12197,66800,61
2018-05-14,16.639999,16.719999,16.5,16.620001,14.113481,189000,62
2018-05-15,16.549999,16.73,16.48,16.59,14.088007,104900,63
2018-05-16,16.639999,17.18,16.639999,17.049999,14.47863,302500,64
2018-05-17,16.99,17.32,16.99,17.24,14.639973,214100,65
2018-05-18,17.33,17.360001,17.190001,17.299999,14.690924,120500,66
2018-05-21,17.360001,17.530001,17.27,17.51,14.869254,185100,67
2018-05-22,17.59,17.9,17.42,17.440001,14.80981,257700,68
2018-05-23,17.309999,17.440001,17.26,17.41,14.784337,79900,69
2018-05-24,17.360001,17.57,17.23,17.530001,14.886241,107600,70
2018-05-25,17.43,17.49,17.110001,17.26,14.65696,224100,71
2018-05-29,17.09,17.48,17,17.41,14.784337,131400,72
2018-05-30,17.5,17.83,17.5,17.629999,14.971157,108500,73
2018-05-31,17.639999,17.719999,17.49,17.49,14.852274,145300,74
2018-06-01,17.66,17.85,17.57,17.709999,15.03909,152600,75
2018-06-04,17.77,18.049999,17.540001,18.040001,15.319324,218600,76
2018-06-05,18.030001,18.379999,18.030001,18.33,15.565585,137400,77
2018-06-06,18.360001,18.459999,18.030001,18.190001,15.446705,212000,78
2018-06-07,18.209999,18.299999,18.15,18.209999,15.463686,77100,79
2018-06-08,18.25,18.370001,18.120001,18.139999,15.404245,90100,80
2018-06-11,18.120001,18.610001,18.110001,18.459999,15.675982,268400,81
2018-06-12,18.42,18.549999,18.209999,18.32,15.557095,68300,82
2018-06-13,18.309999,18.440001,18.1,18.309999,15.548602,151600,83
2018-06-14,18.299999,18.59,18.299999,18.57,15.769393,170300,84
2018-06-15,18.58,18.91,18.42,18.860001,16.015657,506400,85
2018-06-18,18.68,19.049999,18.66,18.93,16.0751,251100,86
2018-06-19,18.73,19.110001,18.290001,18.379999,15.608047,354000,87
2018-06-20,18.9,20.16,18.68,19.82,16.830875,721500,88
2018-06-21,19.93,19.950001,19.48,19.59,16.635563,285100,89
2018-06-22,19.709999,19.83,19.200001,19.42,16.491203,282300,90
2018-06-25,19.309999,19.5,19.1,19.290001,16.380806,180800,91
2018-06-26,19.280001,19.389999,19.15,19.280001,16.372316,225100,92
2018-06-27,19.370001,19.75,19.18,19.440001,16.508184,169800,93
2018-06-28,19.370001,19.469999,19.15,19.41,16.48271,101700,94
2018-06-29,19.469999,19.67,19.42,19.59,16.635563,129900,95
2018-07-02,19.309999,19.389999,19.08,19.379999,16.567171,119100,96
2018-07-03,19.450001,19.790001,19.360001,19.68,16.823635,78200,97
